objectid,name,download,confidence,st_areashape,st_lengthshape
507,10N_090W_merge,http://s3.amazonaws.com/WHRC-carbon/10N_090W_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_10N_090W.tif,1245542887944.7,4464170.2424
508,10N_050E_merge,http://s3.amazonaws.com/WHRC-carbon/10N_050E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_10N_050E.tif,25104789769.5568,673615.8986
509,10S_170E_merge,http://s3.amazonaws.com/WHRC-carbon/10S_170E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_10S_170E.tif,12649592036.6365,449904.151
510,20N_100W_merge,http://s3.amazonaws.com/WHRC-carbon/20N_100W_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_20N_100W.tif,905360573427.506,3852988.2974
511,20S_020E_merge,http://s3.amazonaws.com/WHRC-carbon/20S_020E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_20S_020E.tif,1369805833894.83,4687424.8496
512,20S_080W_merge,http://s3.amazonaws.com/WHRC-carbon/20S_080W_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_20S_080W.tif,1369805833894.83,4687424.8496
513,10N_100W_merge,http://s3.amazonaws.com/WHRC-carbon/10N_100W_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_10N_100W.tif,49578187491.6485,890646.399
514,20S_060W_merge,http://s3.amazonaws.com/WHRC-carbon/20S_060W_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_20S_060W.tif,1369805833894.83,4687424.8496
515,00N_090E_merge,http://s3.amazonaws.com/WHRC-carbon/00N_090E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_00N_090E.tif,74393060148.7423,1113562.1928
516,10N_080W_merge,http://s3.amazonaws.com/WHRC-carbon/10N_080W_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_10N_080W.tif,1245542887944.7,4464170.2424
517,10N_130E_merge,http://s3.amazonaws.com/WHRC-carbon/10N_130E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_10N_130E.tif,1245542887944.7,4464170.2424
518,10N_000E_merge,http://s3.amazonaws.com/WHRC-carbon/10N_000E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_10N_000E.tif,0,4464170.2426
519,10N_060W_merge,http://s3.amazonaws.com/WHRC-carbon/10N_060W_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_10N_060W.tif,1119862887400.87,4238369.7116
520,30N_010E_merge,http://s3.amazonaws.com/WHRC-carbon/30N_010E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_30N_010E.tif,1369808949950.02,4687430.448
521,10N_050W_merge,http://s3.amazonaws.com/WHRC-carbon/10N_050W_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_10N_050W.tif,24795979609.4786,668069.2616
522,10N_070W_merge,http://s3.amazonaws.com/WHRC-carbon/10N_070W_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_10N_070W.tif,0,4464170.2426
523,20N_020W_merge,http://s3.amazonaws.com/WHRC-carbon/20N_020W_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_20N_020W.tif,1027792047493.99,4089333.4202
524,10N_080E_merge,http://s3.amazonaws.com/WHRC-carbon/10N_080E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_10N_080E.tif,125048054934.364,1568509.6014
525,20S_050W_merge,http://s3.amazonaws.com/WHRC-carbon/20S_050W_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_20S_050W.tif,1369805833894.83,4687424.8496
526,20N_010W_merge,http://s3.amazonaws.com/WHRC-carbon/20N_010W_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_20N_010W.tif,0,4534673.2276
527,10S_070W_merge,http://s3.amazonaws.com/WHRC-carbon/10S_070W_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_10S_070W.tif,1284782991976.99,4534670.2128
528,20S_050E_merge,http://s3.amazonaws.com/WHRC-carbon/20S_050E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_20S_050E.tif,79650882516.3911,1144909.9734
529,20S_070W_merge,http://s3.amazonaws.com/WHRC-carbon/20S_070W_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_20S_070W.tif,1369805834017.88,4687424.8498
530,00N_100W_merge,http://s3.amazonaws.com/WHRC-carbon/00N_100W_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_00N_100W.tif,49585071978.7653,890708.2434
531,20N_060W_merge,http://s3.amazonaws.com/WHRC-carbon/20N_060W_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_20N_060W.tif,12747878841.0518,451669.5114
532,20N_070W_merge,http://s3.amazonaws.com/WHRC-carbon/20N_070W_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_20N_070W.tif,1284784670118.31,4534673.2278
533,30N_010W_merge,http://s3.amazonaws.com/WHRC-carbon/30N_010W_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_30N_010W.tif,1369808949950.02,4687430.448
534,10N_020E_merge,http://s3.amazonaws.com/WHRC-carbon/10N_020E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_10N_020E.tif,1245542887944.7,4464170.2424
535,20N_040E_merge,http://s3.amazonaws.com/WHRC-carbon/20N_040E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_20N_040E.tif,634866713018.487,3367010.7592
536,20S_010E_merge,http://s3.amazonaws.com/WHRC-carbon/20S_010E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_20S_010E.tif,958826033503.758,4019446.0606
537,20N_100E_merge,http://s3.amazonaws.com/WHRC-carbon/20N_100E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_20N_100E.tif,0,4534673.2276
538,20N_140E_merge,http://s3.amazonaws.com/WHRC-carbon/20N_140E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_20N_140E.tif,271583023107.801,2294453.582
539,00N_050W_merge,http://s3.amazonaws.com/WHRC-carbon/00N_050W_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_00N_050W.tif,1245542357062.05,4464169.2886
540,00N_080W_merge,http://s3.amazonaws.com/WHRC-carbon/00N_080W_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_00N_080W.tif,1245542357062.05,4464169.2886
541,20N_070E_merge,http://s3.amazonaws.com/WHRC-carbon/20N_070E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_20N_070E.tif,1027792047493.99,4089333.4202
542,20N_080W_merge,http://s3.amazonaws.com/WHRC-carbon/20N_080W_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_20N_080W.tif,0,4534673.2276
543,00N_030E_merge,http://s3.amazonaws.com/WHRC-carbon/00N_030E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_00N_030E.tif,1245542357173.94,4464169.2888
544,10S_140E_merge,http://s3.amazonaws.com/WHRC-carbon/10S_140E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_10S_140E.tif,37820221577.5272,894413.4986
545,30N_080W_merge,http://s3.amazonaws.com/WHRC-carbon/30N_080W_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_30N_080W.tif,977739134836.477,3955568.6314
546,30N_100E_merge,http://s3.amazonaws.com/WHRC-carbon/30N_100E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_30N_100E.tif,1369808949950.02,4687430.448
547,30N_110W_merge,http://s3.amazonaws.com/WHRC-carbon/30N_110W_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_30N_110W.tif,1369808949950.02,4687430.448
548,20N_030E_merge,http://s3.amazonaws.com/WHRC-carbon/20N_030E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_20N_030E.tif,1284784670118.31,4534673.2278
549,20N_090W_merge,http://s3.amazonaws.com/WHRC-carbon/20N_090W_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_20N_090W.tif,0,4534673.2276
550,10S_010E_merge,http://s3.amazonaws.com/WHRC-carbon/10S_010E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_10S_010E.tif,1156269004225.25,4311969.3868
551,20N_090E_merge,http://s3.amazonaws.com/WHRC-carbon/20N_090E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_20N_090E.tif,1027792047609.41,4089333.4204
552,30N_020E_merge,http://s3.amazonaws.com/WHRC-carbon/30N_020E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_30N_020E.tif,1369808949950.02,4687430.448
553,20S_030E_merge,http://s3.amazonaws.com/WHRC-carbon/20S_030E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_20S_030E.tif,821883500410.73,3796868.9234
554,10N_010E_merge,http://s3.amazonaws.com/WHRC-carbon/10N_010E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_10N_010E.tif,1245542887944.7,4464170.2424
555,10S_040W_merge,http://s3.amazonaws.com/WHRC-carbon/10S_040W_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_10S_040W.tif,513948885229.425,3198898.1674
556,00N_070W_merge,http://s3.amazonaws.com/WHRC-carbon/00N_070W_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_00N_070W.tif,1245542357173.94,4464169.2888
557,30N_080E_merge,http://s3.amazonaws.com/WHRC-carbon/30N_080E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_30N_080E.tif,1369808949950.02,4687430.448
558,10N_030E_merge,http://s3.amazonaws.com/WHRC-carbon/10N_030E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_10N_030E.tif,0,4464170.2426
559,10N_070E_merge,http://s3.amazonaws.com/WHRC-carbon/10N_070E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_10N_070E.tif,996399711898.321,4018830.435
560,20N_110E_merge,http://s3.amazonaws.com/WHRC-carbon/20N_110E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_20N_110E.tif,0,4534673.2276
561,30N_120E_merge,http://s3.amazonaws.com/WHRC-carbon/30N_120E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_30N_120E.tif,1369808950073.07,4687430.4482
562,10S_150E_merge,http://s3.amazonaws.com/WHRC-carbon/10S_150E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_10S_150E.tif,252528197642.828,2680089.6952
563,20N_030W_merge,http://s3.amazonaws.com/WHRC-carbon/20N_030W_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_20N_030W.tif,206282867541.081,1817093.6932
564,00N_020E_merge,http://s3.amazonaws.com/WHRC-carbon/00N_020E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_00N_020E.tif,1245542357062.05,4464169.2886
565,00N_040W_merge,http://s3.amazonaws.com/WHRC-carbon/00N_040W_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_00N_040W.tif,798093597824.093,3573461.0454
566,10S_050W_merge,http://s3.amazonaws.com/WHRC-carbon/10S_050W_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_10S_050W.tif,1284782991861.58,4534670.2126
567,00N_130E_merge,http://s3.amazonaws.com/WHRC-carbon/00N_130E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_00N_130E.tif,1119897309836.45,4238431.556
568,00N_010E_merge,http://s3.amazonaws.com/WHRC-carbon/00N_010E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_00N_010E.tif,1245542357062.05,4464169.2886
569,10S_020E_merge,http://s3.amazonaws.com/WHRC-carbon/10S_020E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_10S_020E.tif,1284782991861.58,4534670.2126
570,10S_030E_merge,http://s3.amazonaws.com/WHRC-carbon/10S_030E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_10S_030E.tif,1284782991976.99,4534670.2128
571,10N_040E_merge,http://s3.amazonaws.com/WHRC-carbon/10N_040E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_10N_040E.tif,1245542887944.7,4464170.2424
572,10S_080W_merge,http://s3.amazonaws.com/WHRC-carbon/10S_080W_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_10S_080W.tif,1156269004225.25,4311969.3868
573,30N_100W_merge,http://s3.amazonaws.com/WHRC-carbon/30N_100W_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_30N_100W.tif,1369808950073.07,4687430.4482
574,00N_040E_merge,http://s3.amazonaws.com/WHRC-carbon/00N_040E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_00N_040E.tif,996433885627.265,4018891.3254
575,30N_000E_merge,http://s3.amazonaws.com/WHRC-carbon/30N_000E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_30N_000E.tif,1369808950073.07,4687430.4482
576,00N_120E_merge,http://s3.amazonaws.com/WHRC-carbon/00N_120E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_00N_120E.tif,1245542357173.94,4464169.2888
577,20N_020E_merge,http://s3.amazonaws.com/WHRC-carbon/20N_020E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_20N_020E.tif,0,4534673.2276
578,20N_120E_merge,http://s3.amazonaws.com/WHRC-carbon/20N_120E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_20N_120E.tif,899349269082.819,3866756.283
579,30N_120W_merge,http://s3.amazonaws.com/WHRC-carbon/30N_120W_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_30N_120W.tif,993855572902.701,3987740.5626
580,20N_010E_merge,http://s3.amazonaws.com/WHRC-carbon/20N_010E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_20N_010E.tif,0,4534673.2276
581,30N_070E_merge,http://s3.amazonaws.com/WHRC-carbon/30N_070E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_30N_070E.tif,1369808949950.02,4687430.448
582,10S_050E_merge,http://s3.amazonaws.com/WHRC-carbon/10S_050E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_10S_050E.tif,1284782991861.58,4534670.2126
583,00N_110E_merge,http://s3.amazonaws.com/WHRC-carbon/00N_110E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_00N_110E.tif,1245542357062.05,4464169.2886
584,30N_030E_merge,http://s3.amazonaws.com/WHRC-carbon/30N_030E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_30N_030E.tif,1095847160058.46,4242152.485
585,00N_100E_merge,http://s3.amazonaws.com/WHRC-carbon/00N_100E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_00N_100E.tif,994599128912.127,4013317.014
586,10S_160E_merge,http://s3.amazonaws.com/WHRC-carbon/10S_160E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_10S_160E.tif,506902437525.513,3137106.2302
587,10S_060W_merge,http://s3.amazonaws.com/WHRC-carbon/10S_060W_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_10S_060W.tif,1284782991861.58,4534670.2126
588,30N_110E_merge,http://s3.amazonaws.com/WHRC-carbon/30N_110E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_30N_110E.tif,1369808949950.02,4687430.448
589,10N_150E_merge,http://s3.amazonaws.com/WHRC-carbon/10N_150E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_10N_150E.tif,995936302732.465,4015719.4214
590,20N_000E_merge,http://s3.amazonaws.com/WHRC-carbon/20N_000E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_20N_000E.tif,1284784670118.31,4534673.2278
591,10N_010W_merge,http://s3.amazonaws.com/WHRC-carbon/10N_010W_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_10N_010W.tif,749458545103.219,3572889.9476
592,10N_090E_merge,http://s3.amazonaws.com/WHRC-carbon/10N_090E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_10N_090E.tif,996399712010.21,4018830.4352
593,00N_160E_merge,http://s3.amazonaws.com/WHRC-carbon/00N_160E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_00N_160E.tif,1245542357062.05,4464169.2886
594,10N_020W_merge,http://s3.amazonaws.com/WHRC-carbon/10N_020W_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_10N_020W.tif,312576723875.052,2236364.702
595,10N_100E_merge,http://s3.amazonaws.com/WHRC-carbon/10N_100E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_10N_100E.tif,1245542887944.7,4464170.2424
596,10S_040E_merge,http://s3.amazonaws.com/WHRC-carbon/10S_040E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_10S_040E.tif,1284782991861.58,4534670.2126
597,00N_090W_merge,http://s3.amazonaws.com/WHRC-carbon/00N_090W_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_00N_090W.tif,869607933747.558,3788754.012
598,10N_120E_merge,http://s3.amazonaws.com/WHRC-carbon/10N_120E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_10N_120E.tif,0,4464170.2426
599,30N_090W_merge,http://s3.amazonaws.com/WHRC-carbon/30N_090W_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_30N_090W.tif,1369808949950.02,4687430.448
600,20N_080E_merge,http://s3.amazonaws.com/WHRC-carbon/20N_080E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_20N_080E.tif,722603998055.605,3413119.202
601,30N_060E_merge,http://s3.amazonaws.com/WHRC-carbon/30N_060E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_30N_060E.tif,247501643825.814,2668623.058
602,00N_000E_merge,http://s3.amazonaws.com/WHRC-carbon/00N_000E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_00N_000E.tif,185972317995.968,1781417.2934
603,00N_140E_merge,http://s3.amazonaws.com/WHRC-carbon/00N_140E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_00N_140E.tif,1245542357062.05,4464169.2886
604,20N_050E_merge,http://s3.amazonaws.com/WHRC-carbon/20N_050E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_20N_050E.tif,189722587910.197,1794941.6826
605,00N_060W_merge,http://s3.amazonaws.com/WHRC-carbon/00N_060W_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_00N_060W.tif,1245542357062.05,4464169.2886
606,30N_090E_merge,http://s3.amazonaws.com/WHRC-carbon/30N_090E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_30N_090E.tif,1369808950073.07,4687430.4482
607,20N_110W_merge,http://s3.amazonaws.com/WHRC-carbon/20N_110W_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_20N_110W.tif,0,4534673.2276
608,10N_110E_merge,http://s3.amazonaws.com/WHRC-carbon/10N_110E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_10N_110E.tif,1245542887944.7,4464170.2424
609,20S_040E_merge,http://s3.amazonaws.com/WHRC-carbon/20S_040E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_20S_040E.tif,727410913012.275,3455849.3698
610,30N_020W_merge,http://s3.amazonaws.com/WHRC-carbon/30N_020W_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_30N_020W.tif,1232790004670.44,4464729.6222
611,00N_150E_merge,http://s3.amazonaws.com/WHRC-carbon/00N_150E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_00N_150E.tif,1121581349969.36,4241457.154
